face_id,timestamp,r,g,b
19,1781860187.297556,110.67068119,93.50451961,86.18954490
19,1781860187.326508,110.63091426,94.57795464,86.42374921
19,1781860187.515577,134.10661565,118.55499545,115.68126539
19,1781860187.632278,145.79930956,129.25798998,120.33805530
20,1781860192.024162,127.43234737,120.18812215,119.28444806
21,1781860192.766676,71.50614606,55.50821587,34.60032909
21,1781860192.821763,73.82389917,56.75488897,34.89543151
21,1781860192.880267,78.57892474,58.12991073,39.20688049
21,1781860192.948347,79.02019476,58.29869612,38.57632524
21,1781860193.018870,77.34982335,61.20495767,41.09116863
21,1781860193.102668,76.95044129,63.48982661,45.15132148
21,1781860193.160040,79.22231183,66.59307027,47.89697920
21,1781860193.230760,81.62015154,69.43302351,49.91715320
21,1781860193.283349,81.18809292,71.34204432,51.48970499
21,1781860193.334313,83.31422237,71.05504792,49.93179224
21,1781860193.410166,83.84651221,70.60289885,49.92576357
21,1781860193.505634,82.39353072,65.79248529,44.29749446
21,1781860193.569058,83.63334370,65.52094016,42.09966022
21,1781860193.625871,83.90121422,63.41552028,39.47534934
21,1781860193.698666,83.66145527,62.21801001,37.87984957
21,1781860193.716923,84.35090049,62.42862436,36.76164771
21,1781860193.809574,81.61626525,60.24924659,35.75390223
21,1781860193.892232,79.82635101,59.25305110,35.67897511
21,1781860193.971083,76.91550729,56.76621736,33.93257435
21,1781860194.037367,75.21980418,54.71792013,32.69636854
21,1781860194.090077,73.25701079,56.34045375,29.81914991
21,1781860194.142786,74.61419218,57.31055951,30.08070648
21,1781860194.217717,73.97081242,54.26267505,35.15888870
21,1781860194.296540,68.28162902,51.46990299,29.61618545
21,1781860194.355945,65.66862456,48.92028139,28.21838475
21,1781860194.420218,62.62136633,47.19751752,27.53265503
21,1781860194.494775,58.01674902,43.93209511,25.63845350
21,1781860194.550329,56.65529109,43.65446918,26.07218642
21,1781860194.618918,64.34215591,49.83933962,32.21865026
21,1781860194.694187,78.25288892,67.36707425,48.78704586
22,1781860199.890934,94.57133978,80.26241063,54.68847091
22,1781860199.953051,89.71722430,73.99595479,52.03790948
22,1781860200.018527,94.47502453,79.00994734,55.35950909
23,1781860204.360725,66.19686899,52.89195298,37.22511014
23,1781860204.412433,102.74528660,80.80744444,51.72574446
23,1781860204.494203,98.25126304,80.05736122,52.50909369
23,1781860204.562636,102.26871090,83.37164817,57.90976416
23,1781860204.620037,107.08478853,97.92812470,82.21224034
23,1781860204.697056,103.19194835,91.48331491,74.00365786
23,1781860204.755772,104.97906340,92.22961520,73.44954112
23,1781860204.828131,112.70063338,93.69511379,74.45412226
23,1781860204.879248,108.45097388,91.03710721,63.70214322
23,1781860204.975934,109.83276473,91.34729624,62.28706882
23,1781860205.021378,104.11161157,86.17645173,51.72552981
23,1781860205.093377,112.51587195,90.66642864,58.09427928
23,1781860205.163902,114.57671117,89.42543855,59.42566539
23,1781860205.218352,117.73884732,92.25436001,60.65903054
23,1781860205.298174,124.06051530,101.47450222,64.98888061
23,1781860205.349817,127.22800893,104.37032468,67.11788995
23,1781860205.423743,129.03044705,105.84990258,67.73213618
23,1781860205.491106,129.57673127,109.71884448,68.16261654
23,1781860205.560411,141.48313701,122.57512475,80.06354504
23,1781860205.618683,152.18186259,134.70367097,100.09189731
23,1781860205.699685,157.85679738,145.05075921,107.91069068
23,1781860205.747419,156.83443490,144.62592834,109.07675977
23,1781860205.823418,152.49444949,140.14715515,105.08765116
23,1781860205.906115,148.90940679,133.88587980,102.01064063
23,1781860205.963760,148.23939729,130.63011216,101.10602024
23,1781860206.031641,142.70773476,125.57535060,97.32793414
23,1781860206.106867,141.80788516,124.27208460,96.27060483
23,1781860206.161766,141.30965014,123.62168079,96.17657050
23,1781860206.228630,139.59740026,119.83315009,89.02344679
23,1781860206.311498,139.95431018,121.41232936,90.61586729
23,1781860206.361293,137.29077487,119.45280783,86.19654672
23,1781860206.430634,136.17822870,116.49547450,87.09377610
23,1781860206.487210,132.56708277,115.57244006,83.68906702
23,1781860206.555545,131.69112202,114.80330552,82.74193039
23,1781860206.620387,133.07678095,113.63637312,84.58857351
23,1781860206.701915,130.96267808,111.76737204,83.49807245
23,1781860206.764875,130.42933686,111.66044157,84.13097189
23,1781860206.828773,131.48755399,112.73496250,85.70034439
23,1781860206.893203,132.99467235,114.26643075,87.09485504
23,1781860206.959698,132.51781566,113.23870845,86.44413541
23,1781860207.026998,130.01440393,114.11356233,84.35367604
23,1781860207.100010,123.07020439,106.94821198,80.35232510
23,1781860207.161313,110.38465149,95.38127542,71.80638297
23,1781860207.233051,86.85574677,72.69006718,57.18323653
23,1781860207.293332,69.10823346,55.36152020,44.37044885
23,1781860207.356229,64.70566474,51.96733148,40.38773824
23,1781860207.431729,54.93061590,45.27575995,33.26744722
23,1781860207.527444,56.08424895,47.02914741,34.97973438
23,1781860207.772628,67.13296897,57.25915689,43.87438971
23,1781860207.812390,77.73620838,64.58134188,48.78778072
23,1781860207.893127,77.99919621,67.67861976,48.39736446
23,1781860207.956443,79.53217084,69.03696596,49.59402025
23,1781860208.034851,86.64260149,72.10121144,54.32781211
23,1781860208.094525,89.72043060,75.00515091,55.39962844
23,1781860208.150917,92.10407461,77.23458828,58.02352802
23,1781860208.253338,94.21125869,78.64061764,60.53455119
23,1781860208.302499,96.80531554,80.38434944,61.13757725
23,1781860208.361542,99.27485478,83.63358837,63.18507550
23,1781860208.438284,104.01738735,86.92587032,65.24004706
23,1781860208.497478,113.58537823,94.78361072,71.07285349
23,1781860208.555554,122.68070736,104.12230273,76.51768322
23,1781860208.613077,128.49157857,112.78616002,75.50059650
