face_id,timestamp,cleaned_r,cleaned_g,cleaned_b,cleaned_rppg
6,1781860042.979871,-1.17387732,-1.46838904,-0.92025430,-1.88169588
6,1781860043.061987,-1.35532654,-1.60477021,-0.95759576,-2.00221885
6,1781860043.136819,-1.23412757,-1.39402656,-0.71363971,-1.87642442
6,1781860043.184654,-0.68932969,-0.78483798,-0.15735718,-1.61449154
6,1781860043.242260,-0.08071043,-0.11598939,0.33087708,-1.07666869
6,1781860043.300919,0.35990277,0.37400950,0.59747159,-0.46750700
6,1781860043.361183,0.71176713,0.71706470,0.75474951,-0.07232326
6,1781860043.473671,1.03584455,0.97361922,0.85044859,0.13609563
6,1781860043.519284,1.23216863,1.11881909,0.85965199,0.32562209
6,1781860043.563562,1.22839750,1.14750052,0.83673678,0.51331058
6,1781860043.638076,1.08782716,1.09269350,0.83266999,0.59151989
6,1781860043.706937,0.88503005,0.93743698,0.76226676,0.50819770
6,1781860043.766956,0.59710485,0.62957072,0.50554610,0.34945561
6,1781860043.868010,0.17688821,0.17985235,0.07766297,0.23481610
6,1781860043.941446,-0.32630444,-0.32042030,-0.38369831,0.15444453
6,1781860043.971538,-0.75667239,-0.73086413,-0.72737340,0.04983679
6,1781860044.047577,-0.94154026,-0.88363141,-0.84010112,0.03210844
6,1781860044.107779,-0.82838832,-0.71629152,-0.70790295,0.23158865
6,1781860044.174699,-0.56339856,-0.42110241,-0.47970101,0.44861381
6,1781860044.265834,-0.34338669,-0.25940930,-0.33502213,0.35637749
6,1781860044.319028,-0.00690320,-0.00802167,-0.01229342,0.00813601
6,1781860044.390223,-0.40435910,-0.37609616,-0.30684963,-0.10574471
6,1781860044.487249,-0.99728101,-0.88855843,-0.74274577,-0.09569880
6,1781860044.509175,-1.18156926,-0.98032048,-0.85963650,0.20787106
6,1781860044.571681,-0.88652220,-0.63368294,-0.60774022,0.58543216
6,1781860044.666701,-0.35990891,-0.13504504,-0.17993280,0.69600567
6,1781860044.713130,-0.01420675,0.13384387,0.11636412,0.42709689
6,1781860044.758372,-0.01123086,0.07470008,0.15811480,0.00649229
6,1781860044.838930,-0.10563667,-0.05360217,0.10614561,-0.27791883
6,1781860044.924818,-0.00786194,-0.00328808,0.14834579,-0.37944016
6,1781860044.980154,0.24253032,0.17330530,0.24796700,-0.37125250
6,1781860045.068768,0.38927100,0.26776589,0.24455151,-0.25360704
6,1781860045.094441,0.31262974,0.19378286,0.11300399,-0.09822204
6,1781860045.156172,0.15156116,0.06596305,-0.00656086,-0.03373369
6,1781860045.236879,0.12759356,0.07707392,-0.00285025,0.07586872
6,1781860045.299989,0.29453192,0.27694847,0.08502276,0.44983308
6,1781860045.364884,0.48053173,0.47791307,0.15095012,0.83686411
6,1781860045.474018,0.50898168,0.48713506,0.17011102,0.76160857
6,1781860045.502885,0.40930155,0.37933454,0.21845237,0.33778366
6,1781860045.567487,0.33091209,0.37537076,0.35045863,0.17898865
6,1781860045.646553,0.32434161,0.49198132,0.49975169,0.41249044
6,1781860045.701811,0.27834850,0.47158103,0.50669950,0.40796152
6,1781860045.760870,0.02858879,0.09952570,0.23747307,-0.17289851
6,1781860045.870687,-0.48774832,-0.50516033,-0.28350553,-0.61683355
6,1781860045.940325,-1.15363186,-1.06978310,-0.87381624,-0.28928403
6,1781860045.985030,-1.72006114,-1.57086181,-1.38350151,-0.09846188
6,1781860046.038316,-1.88597364,-2.06167837,-1.75203336,-1.25228592
6,1781860046.112580,-1.38047181,-2.07130731,-1.72642472,-2.67233104
6,1781860046.164791,-0.18388066,-0.89912182,-0.86227495,-1.94051666
6,1781860046.275584,1.21579494,1.13316264,0.72621741,0.83678322
6,1781860046.298086,1.99233905,2.49813612,1.95491206,2.70665521
6,1781860046.369225,1.65590491,2.13258199,1.82311926,2.02837612
6,1781860046.455518,0.55465730,0.70626602,0.70369345,0.39781426
6,1781860046.504632,-0.33667434,-0.25463516,-0.06825768,-0.26921080
6,1781860046.568209,-0.15075709,0.02031959,0.23393259,-0.10975105
6,1781860046.657741,1.05574544,1.07216022,1.05703615,0.08137570
6,1781860046.704140,2.09170064,1.80920705,1.38130199,0.37518662
6,1781860046.765033,1.71056963,1.43881046,0.85076019,0.81608550
6,1781860046.847074,0.04982515,0.16730433,-0.05369032,0.87332079
6,1781860046.914761,-1.53971902,-1.05129759,-0.79227701,0.59189371
6,1781860046.978763,-2.04750021,-1.53498131,-1.24193214,0.56626971
6,1781860047.057044,-1.56503852,-1.38232755,-1.35455192,0.39975989
6,1781860047.119174,-0.77078331,-1.07512877,-1.05585327,-0.83499782
6,1781860047.183042,-0.35442803,-0.98256086,-0.68868466,-2.37894210
6,1781860047.246658,-0.63109169,-1.13433869,-0.76961097,-2.23952425
6,1781860047.310515,-1.15674580,-1.18339759,-1.08751041,-0.31617166
6,1781860047.382671,-1.09666247,-0.77273607,-0.86756683,1.08046561
6,1781860047.463887,-0.29447052,-0.02857363,0.00292987,0.60477532
6,1781860047.528681,0.58741135,0.63226463,0.80872176,-0.33956059
6,1781860047.592136,1.14709126,1.10659839,1.17820653,-0.28923994
